period_s,freq_hz,near_from_deg,near_width_deg,off_from_deg,gain,diff_off_from_deg,diff_gain,friction,diff_friction,status,blocker,exit_depth_m,path_km
40.000,0.0250,167.31,0.5,79.01,0,79.01,0,0.67827,0.67827,land,Coronado shore or shoal,0.1,9.52
40.000,0.0250,167.81,0.5,80.61,0,80.61,0,0.70696,0.70696,land,Coronado shore or shoal,0.2,9.23
40.000,0.0250,168.31,0.5,69.91,0,69.91,0,0.64414,0.64414,land,Coronado shore or shoal,-0.1,9.20
40.000,0.0250,168.81,0.5,77.24,0,77.24,0,0.63883,0.63883,land,Coronado shore or shoal,-0.2,9.47
40.000,0.0250,169.31,0.5,92.76,0,92.76,0,0.64278,0.64278,land,Coronado shore or shoal,0.1,12.38
40.000,0.0250,169.81,0.5,81.20,0,81.20,0,0.51099,0.51099,land,Coronado shore or shoal,-0.2,15.65
40.000,0.0250,170.31,0.5,84.19,0,84.19,0,0.54644,0.54644,land,Coronado shore or shoal,-0.1,15.14
40.000,0.0250,170.81,0.5,81.15,0,81.15,0,0.52507,0.52507,land,Coronado shore or shoal,-0.1,15.36
40.000,0.0250,171.31,0.5,101.83,0,101.83,0,0.66550,0.66550,land,Coronado shore or shoal,0.3,14.06
40.000,0.0250,171.81,0.5,73.82,0,73.82,0,0.56766,0.56766,land,Coronado shore or shoal,0.1,16.93
40.000,0.0250,172.31,0.5,62.74,0,62.74,0,0.56302,0.56302,land,Coronado shore or shoal,-0.0,16.19
40.000,0.0250,172.81,0.5,56.19,0,56.19,0,0.59631,0.59631,land,Coronado shore or shoal,0.2,16.29
40.000,0.0250,173.31,0.5,78.44,0,78.44,0,0.55513,0.55513,land,Coronado shore or shoal,-0.1,16.88
40.000,0.0250,173.81,0.5,19.86,0,19.86,0,0.52029,0.52029,land,Coronado shore or shoal,-2.0,21.67
40.000,0.0250,174.31,0.5,76.51,0,76.51,0,0.55445,0.55445,land,Coronado shore or shoal,0.1,17.26
40.000,0.0250,174.81,0.5,99.00,0,99.00,0,0.48639,0.48639,land,Coronado shore or shoal,-1.5,21.20
40.000,0.0250,175.31,0.5,34.92,0,34.92,0,0.42351,0.42351,land,Coronado shore or shoal,-4.2,20.83
40.000,0.0250,175.81,0.5,24.78,0,170.60,5.32199,0.54548,0.71578,land,Baja peninsula,-0.5,27.77
40.000,0.0250,176.31,0.5,147.37,0,147.37,0,0.57973,0.57973,land,Coronado shore or shoal,-3.1,23.33
40.000,0.0250,176.81,0.5,263.22,0,187.82,27.38969,0.69529,0.71480,land,Coronado Islands (South group),-5.5,33.75
40.000,0.0250,177.31,0.5,31.63,0,31.63,0,0.60634,0.60634,land,Coronado Islands (South group),-10.7,37.62
40.000,0.0250,177.81,0.5,268.51,0,192.67,31.20719,0.68716,0.71687,land,Coronado Islands (South group),-1.4,33.28
40.000,0.0250,178.31,0.5,170.60,39.70446,170.60,39.83634,0.71578,0.71578,grid edge,,77.7,51.58
40.000,0.0250,178.81,0.5,266.03,39.70446,266.03,34.27459,0.76586,0.76586,grid edge,,723.0,55.63
