generated_utc,cycle_utc,valid_utc,lead_h,wave_source,site,hs_m,hs_basis,depth_m,hs_5m_m,hs_window_m,hs_offshore_m,period_s,from_deg,build_sha
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T12:00:00Z,96,spectrum,coronado_south,0.688,breaking,1.43,0.535,0.632,0.966,14.5,248.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T15:00:00Z,99,spectrum,buoy,0.926,buoy,,,,0.926,14.5,222.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T15:00:00Z,99,spectrum,coronado_north,0.927,breaking,1.84,0.769,0.563,0.926,15.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T15:00:00Z,99,spectrum,coronado_center,0.789,breaking,1.65,0.631,0.593,0.926,15.6,236.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T15:00:00Z,99,spectrum,coronado_south,0.652,breaking,1.42,0.512,0.621,0.926,14.5,247.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T18:00:00Z,102,spectrum,buoy,0.889,buoy,,,,0.889,15.6,219.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T18:00:00Z,102,spectrum,coronado_north,0.929,breaking,1.92,0.77,0.564,0.889,15.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T18:00:00Z,102,spectrum,coronado_center,0.768,breaking,1.72,0.623,0.593,0.889,15.6,235.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T18:00:00Z,102,spectrum,coronado_south,0.628,breaking,1.57,0.496,0.617,0.889,13.6,245.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T21:00:00Z,105,spectrum,buoy,0.855,buoy,,,,0.855,13.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T21:00:00Z,105,spectrum,coronado_north,0.93,breaking,1.86,0.771,0.563,0.855,15.6,221.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T21:00:00Z,105,spectrum,coronado_center,0.77,breaking,1.68,0.615,0.591,0.855,15.6,234.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-09-30T21:00:00Z,105,spectrum,coronado_south,0.62,breaking,1.53,0.482,0.613,0.855,13.6,244.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-10-01T00:00:00Z,108,spectrum,buoy,0.823,buoy,,,,0.823,13.6,220.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-10-01T00:00:00Z,108,spectrum,coronado_north,0.923,breaking,1.92,0.763,0.559,0.823,15.6,221.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-10-01T00:00:00Z,108,spectrum,coronado_center,0.775,breaking,1.63,0.611,0.586,0.823,15.6,234.0,3a56233
2026-09-26T17:33:11Z,2026-09-26T12:00:00Z,2026-10-01T00:00:00Z,108,spectrum,coronado_south,0.628,breaking,1.33,0.477,0.606,0.823,13.6,244.0,3a56233
